Make,Model,Cylinders,Transmission,Fuel_type ,City_Fuel ,Hwy_Fuel ,Comb_Fuel ,Emission_co2 ,Rating_Co2 ,Smog_Rating 
Mazda,Mazda3 5-Door (SIL),4,M6,X,9.2,6.6,8.1,189,6,7
Mazda,Mazda3 5-Door 4WD,4,AS6,X,9.8,7.4,8.7,204,6,7
Mazda,Mazda6,4,AS6,X,9,6.7,8,188,6,7
Mazda,Mazda6 Turbo,4,AS6,X,10,7.5,8.9,208,6,3
Mazda,MX-5,4,AS6,Z,9,6.6,7.9,186,7,3
Mazda,MX-5 (SIL),4,M6,Z,9,7,8.1,189,6,3
Mercedes-Benz,A 220 4MATIC ,4,AM7,Z,9.8,7,8.6,201,6,5
Mercedes-Benz,A 250 4MATIC Hatch,4,AM7,Z,9.4,6.9,8.3,195,6,5
Mercedes-Benz,AMG A 35 4MATIC,4,AM7,Z,9.9,7.5,8.9,207,6,5
Mercedes-Benz,AMG A 35 4MATIC Hatch,4,AM7,Z,10.3,7.9,9.2,215,5,5
Mercedes-Benz,AMG C 43 4MATIC,6,A9,Z,12.4,8.7,10.7,253,4,5
Mercedes-Benz,AMG C 43 4MATIC Cabriolet,6,A9,Z,12.7,9.2,11.2,263,4,5
Mercedes-Benz,AMG C 43 4MATIC Coupe,6,A9,Z,12.5,8.8,10.8,255,4,5
Mercedes-Benz,AMG C 43 4MATIC Wagon,6,A9,Z,12.4,8.9,10.8,255,4,5
Mercedes-Benz,AMG C 63,8,A9,Z,13.2,8.7,11.2,263,4,3
Mercedes-Benz,AMG C 63 S,8,A9,Z,13.2,8.7,11.2,263,4,3
Mercedes-Benz,AMG C 63 S Cabriolet,8,A9,Z,13.9,9.7,12,282,4,3
Mercedes-Benz,AMG C 63 S Coupe,8,A9,Z,13.9,9.2,11.8,277,4,3
Mercedes-Benz,AMG CLA 35 4MATIC ,4,AM7,Z,10.4,8.3,9.4,218,5,5
Mercedes-Benz,AMG CLA 45 4MATIC ,4,AM8,Z,11.7,8.1,10.1,237,5,3
Mercedes-Benz,AMG CLS 53 4MATIC+,6,A9,Z,11.1,8.7,10,235,5,6
Mercedes-Benz,AMG E 53 4MATIC+,6,A9,Z,11.2,8.3,9.9,232,5,6
Mercedes-Benz,AMG E 53 4MATIC+ Cabriolet,6,A9,Z,11.5,9,10.4,245,5,6
Mercedes-Benz,AMG E 53 4MATIC+ Coupe,6,A9,Z,11.3,8.5,10.1,237,5,6
Mercedes-Benz,AMG E 53 4MATIC+ Wagon,6,A9,Z,11.5,8.6,10.2,239,5,6
Mercedes-Benz,AMG E 63 S 4MATIC+,8,A9,Z,16,10.5,13.5,318,3,3
Mercedes-Benz,AMG E 63 S 4MATIC+ Wagon,8,A9,Z,14.6,10.4,12.7,299,3,3
Mercedes-Benz,AMG G 63,8,A9,Z,18.1,15.6,17,396,1,3
Mercedes-Benz,AMG GLC 43 4MATIC,6,A9,Z,13,9.8,11.6,271,4,5
Mercedes-Benz,AMG GLC 43 4MATIC Coupe,6,A9,Z,13,9.8,11.6,272,4,5
Mercedes-Benz,AMG GLC 63 S 4MATIC+,8,A9,Z,15,10.9,13.2,309,3,5
Mercedes-Benz,AMG GLC 63 S 4MATIC+ Coupe,8,A9,Z,15,10.9,13.2,309,3,5
Mercedes-Benz,AMG GLE 53 4MATIC+,6,A9,Z,13.2,10.8,12.1,285,3,6
Mercedes-Benz,AMG GT 53 4MATIC+ ,6,A9,Z,12.4,9.8,11.2,264,4,6
Mercedes-Benz,AMG GT 63 4MATIC+ ,8,A9,Z,15.5,11.5,13.7,323,3,5
Mercedes-Benz,AMG GT 63 S 4MATIC+ ,8,A9,Z,15.6,11.5,13.7,324,3,5
Mercedes-Benz,AMG GT C Coupe,8,AM7,Z,15.2,11.3,13.5,315,3,3
Mercedes-Benz,AMG GT C Roadster,8,AM7,Z,15.8,11.7,14,326,3,3
Mercedes-Benz,AMG GT R Coupe,8,AM7,Z,15.9,11.8,14,327,3,3
Mercedes-Benz,AMG GT R Roadster,8,AM7,Z,15.9,11.8,14,327,3,3
Mercedes-Benz,AMG S 63 4MATIC+,8,A9,Z,14.1,8.9,11.8,275,4,5
Mercedes-Benz,AMG S 63 4MATIC+ Cabriolet,8,A9,Z,15.8,9.8,13.1,306,3,5
Mercedes-Benz,AMG S 63 4MATIC+ Coupe,8,A9,Z,14,8.7,11.6,271,4,5
Mercedes-Benz,AMG S 65,12,A7,Z,18.6,10.9,15.1,356,2,3
Mercedes-Benz,AMG SLC 43 ,6,A9,Z,11.8,8.2,10.2,238,5,5
Mercedes-Benz,C 300 4MATIC,4,A9,Z,11,7.3,9.4,219,5,6
Mercedes-Benz,C 300 4MATIC Cabriolet,4,A9,Z,11.3,8.1,9.9,231,5,6
Mercedes-Benz,C 300 4MATIC Coupe,4,A9,Z,10.9,7.7,9.5,221,5,6
Mercedes-Benz,C 300 4MATIC Wagon,4,A9,Z,10.9,7.7,9.5,221,5,6
Mercedes-Benz,CLA 250 4MATIC ,4,AM7,Z,10.1,7.2,8.8,204,6,5
Mercedes-Benz,CLS 450 4MATIC,6,A9,Z,10.1,7.9,9.1,213,5,6
Mercedes-Benz,E 350 4MATIC,4,A9,Z,10.8,7.8,9.4,220,5,6
Mercedes-Benz,E 450 4MATIC,6,A9,Z,11.8,8.5,10.4,243,5,5
Mercedes-Benz,E 450 4MATIC Cabriolet,6,A9,Z,12.7,10.1,11.6,271,4,5
Mercedes-Benz,E 450 4MATIC Coupe,6,A9,Z,12.5,9.1,11,257,4,5
Mercedes-Benz,E 450 4MATIC Wagon,6,A9,Z,12.3,8.9,10.8,254,4,5
Mercedes-Benz,G 550,8,A9,Z,18,14.1,16.3,378,2,3
Mercedes-Benz,GLA 250 4MATIC,4,AM7,Z,10.2,7.5,9,211,5,5
Mercedes-Benz,GLB 250 4MATIC,4,AM8,Z,10.1,7.7,9,210,5,6
Mercedes-Benz,GLC 300 4MATIC,4,A9,Z,11.2,8.5,10,234,5,6
Mercedes-Benz,GLC 300 4MATIC Coupe,4,A9,Z,11.2,8.7,10,236,5,6
Mercedes-Benz,GLE 350 4MATIC,4,A9,Z,12.1,8.8,10.6,249,4,5
Mercedes-Benz,GLE 450 4MATIC,6,A9,Z,12.1,9.9,11.1,262,4,6
Mercedes-Benz,GLS 450 4MATIC,6,A9,Z,12.2,10.4,11.4,266,4,6
Mercedes-Benz,GLS 580 4MATIC,8,A9,Z,14.3,11.4,13,302,3,5
Mercedes-Benz,Maybach S 560 4MATIC,8,A9,Z,14.4,9.5,12.2,286,3,5
Mercedes-Benz,Maybach S 650,12,A7,Z,18.4,11.1,15.1,355,2,3
Mercedes-Benz,Metris Cargo,4,A7,Z,11.1,9.8,10.5,247,4,5
Mercedes-Benz,Metris Cargo LWB,4,A7,Z,11.1,9.7,10.5,246,5,5
Mercedes-Benz,Metris Passenger,4,A7,Z,11.8,9.9,11,257,4,5
Mercedes-Benz,S 450 4MATIC SWB,6,A9,Z,12.8,8.5,10.8,253,4,3
Mercedes-Benz,S 560 4MATIC,8,A9,Z,13.5,8.6,11.3,265,4,5
Mercedes-Benz,S 560 4MATIC SWB,8,A9,Z,13.7,8.8,11.5,268,4,5
Mercedes-Benz,S 560 Cabriolet,8,A9,Z,13.8,9.1,11.7,273,4,5
Mercedes-Benz,S 560 4MATIC Coupe,8,A9,Z,13.8,8.8,11.5,270,4,5
Mercedes-Benz,SL 450 ,6,A9,Z,12.1,8.5,10.5,241,5,3
Mercedes-Benz,SL 550,8,A9,Z,13.5,9.3,11.6,270,4,3
Mercedes-Benz,SLC 300,4,A9,Z,10.1,7.3,8.8,206,6,3
MINI,Cooper 3 Door,3,AM7,Z,8.3,6.4,7.5,174,7,7
MINI,Cooper 5 Door,3,AM7,Z,8.3,6.4,7.5,174,7,7
MINI,Cooper Clubman ALL4,3,AS8,Z,9.7,7,8.5,197,6,7
MINI,Cooper Convertible,3,AM7,Z,8.3,6.4,7.5,174,7,7
MINI,Cooper Countryman ALL4,3,AS8,Z,9.8,7.1,8.6,200,6,7
MINI,Cooper S 3 Door,4,AM7,Z,8.9,6.6,7.9,184,7,7
MINI,Cooper S 5 Door,4,AM7,Z,8.9,6.6,7.9,184,7,7
MINI,Cooper S Clubman ALL4,4,AS8,Z,10.2,7.4,8.9,207,6,7
MINI,Cooper S Convertible,4,AM7,Z,9.2,6.9,8.1,191,6,7
MINI,Cooper S Countryman ALL4,4,AS8,Z,10.4,7.5,9.1,212,5,7
MINI,John Cooper Works 3 Door,4,AS8,Z,9.2,6.9,8.1,190,6,7
MINI,John Cooper Works Clubman ALL4,4,AS8,Z,10.1,7.6,9,210,5,3
MINI,John Cooper Works Convertible,4,AS8,Z,9.4,7.1,8.3,194,6,7
MINI,John Cooper Works Countryman ALL4,4,AS8,Z,10,7.8,9,210,5,3
Mitsubishi,Eclipse Cross 4WD,4,AV8,X,9.6,8.9,9.3,216,5,5
Mitsubishi,Mirage,3,AV,X,6.6,5.6,6.2,143,9,5
Mitsubishi,Mirage,3,M5,X,7.1,5.8,6.5,151,8,5
Mitsubishi,Outlander 4WD,4,AV6,X,9.9,8.1,9.1,212,5,5
Mitsubishi,Outlander 4WD,6,A6,Z,12,8.8,10.6,246,4,5
Mitsubishi,RVR,4,AV6,X,9.7,7.8,8.8,206,6,5
Mitsubishi,RVR 4WD,4,AV6,X,10.1,8.2,9.2,213,5,5
Mitsubishi,RVR 4WD,4,AV6,X,10.3,8.3,9.4,218,5,5
Nissan,370Z,6,AS7,Z,12.6,9.3,11.1,261,4,3
Nissan,370Z,6,M6,Z,13.3,9.3,11.5,270,4,3
Nissan,370Z Roadster,6,AS7,Z,13,9.7,11.5,271,4,3
Nissan,370Z Roadster,6,M6,Z,13.6,9.7,11.8,279,4,3
Nissan,Altima AWD,4,AV,X,9.1,6.5,7.9,186,7,7
Nissan,Altima AWD SR/Platinum,4,AV,X,9.3,6.7,8.1,190,6,7
Nissan,Armada 4WD,8,AS7,X,17.5,12.9,15.4,362,2,3
Nissan,Frontier,6,AS9,X,13.1,9.8,11.6,273,4,5
Nissan,Frontier 4WD,6,AS9,X,13.8,10.2,12.2,287,3,5
Nissan,GT-R,6,AM6,Z,14.4,10.9,12.8,300,3,3
Nissan,Kicks,4,AV,X,7.7,6.6,7.2,169,7,7
Nissan,Maxima,6,AV7,Z,11.6,7.9,9.9,233,5,3
Nissan,Murano,6,AV7,X,11.7,8.3,10.2,240,5,5
Nissan,Murano AWD,6,AV7,X,11.7,8.5,10.3,242,5,5
Nissan,NV200 Cargo Van,4,AV,X,9.8,8.8,9.3,218,5,3
Nissan,Qashqai,4,AV8,X,8.8,7.4,8.2,192,6,5
Nissan,Qashqai,4,M6,X,10.1,8.2,9.2,217,5,5
Nissan,Qashqai AWD,4,AV8,X,9,7.7,8.4,198,6,5
Nissan,Pathfinder,6,AV,X,11.6,8.5,10.2,240,5,5
Nissan,Pathfinder 4WD,6,AV,X,12.1,8.9,10.7,251,4,5
Nissan,Pathfinder 4WD Platinum,6,AV,X,12.4,9.2,11,257,4,3
Nissan,Rogue,4,AV,X,9.1,7.1,8.2,192,6,7
Nissan,Rogue AWD,4,AV,X,9.6,7.5,8.7,204,6,7
Nissan,Sentra,4,AV,X,8,6,7.1,167,7,7
Nissan,Sentra SR,4,AV,X,8.2,6.2,7.3,171,7,7
Nissan,Sentra,4,M6,X,9.4,6.4,8,188,6,7
Nissan,Titan 4WD,8,AS9,Z,15.1,11.1,13.3,313,3,5
Nissan,Titan 4WD Pro-4X,8,AS9,Z,15.1,11.2,13.3,313,3,5
Nissan,Versa,4,AV,X,7.4,5.9,6.7,158,8,7
Nissan,Versa,4,M5,X,8.6,6.7,7.7,181,7,7
Porsche,718 Boxster,4,AM7,Z,11,8.7,10,233,5,1
Porsche,718 Boxster,4,M6,Z,11.7,8.9,10.5,245,5,1
Porsche,718 Boxster S,4,AM7,Z,12.2,9.2,10.9,255,4,1
Porsche,718 Boxster S,4,M6,Z,12.5,9.6,11.2,263,4,1
Porsche,718 Boxster T,4,AM7,Z,11.2,8.7,10.1,236,5,1
Porsche,718 Boxster T,4,M6,Z,11.7,8.9,10.5,245,5,1
Porsche,718 Cayman,4,AM7,Z,11,8.7,10,233,5,1
Porsche,718 Cayman,4,M6,Z,11.7,8.9,10.5,245,5,1
Porsche,718 Cayman GT4,6,M6,Z,14.3,10.4,12.5,294,3,3
Porsche,718 Cayman S,4,AM7,Z,12.2,9.2,10.9,255,4,1
Porsche,718 Cayman S,4,M6,Z,12.5,9.6,11.2,263,4,1
Porsche,718 Cayman T,4,AM7,Z,11.2,8.7,10.1,236,5,1
Porsche,718 Cayman T,4,M6,Z,11.7,8.9,10.5,245,5,1
Porsche,718 Spyder,6,M6,Z,14.3,10.4,12.5,294,3,3
Porsche,911 Carrera,6,AM8,Z,13.1,9.8,11.6,273,4,5
Porsche,911 Carrera Cabriolet,6,AM8,Z,13.6,10,12,282,4,5
Porsche,911 Carrera S,6,AM8,Z,13.1,9.7,11.5,276,4,5
Porsche,911 Carrera S,6,M7,Z,13.8,9.3,11.8,275,4,5
Porsche,911 Carrera S Cabriolet,6,AM8,Z,12.7,10.2,11.6,276,4,5
Porsche,911 Carrera S Cabriolet,6,M7,Z,13.8,9.3,11.8,275,4,5
Porsche,911 Carrera 4,6,AM8,Z,13.1,9.8,11.6,275,4,5
Porsche,911 Carrera 4 Cabriolet,6,AM8,Z,13.1,9.7,11.6,275,4,5
Porsche,911 Carrera 4S,6,AM8,Z,13.1,10.2,11.8,277,4,5
Porsche,911 Carrera 4S,6,M7,Z,13.8,9.8,12,275,4,5
Porsche,911 Carrera 4S Cabriolet,6,AM8,Z,13.1,10.2,11.8,277,4,5
Porsche,911 Carrera 4S Cabriolet,6,M7,Z,13.8,9.7,12,280,4,5
Porsche,Cayenne,6,AS8,Z,12.5,10.3,11.5,269,4,5
Porsche,Cayenne Coupe,6,AS8,Z,12.7,10.3,11.6,271,4,5
Porsche,Cayenne S,6,AS8,Z,13.1,10.5,11.9,278,4,5
Porsche,Cayenne S Coupe,6,AS8,Z,13.4,10.9,12.3,286,3,5
Porsche,Cayenne Turbo,8,AS8,Z,15.6,12.4,14.1,329,3,3
Porsche,Cayenne Turbo Coupe,8,AS8,Z,15.8,12.2,14.2,332,3,3
Porsche,Macan,4,AM7,Z,12.2,10.2,11.3,265,4,5
Porsche,Macan GTS,6,AM7,Z,13.5,10.5,12.2,285,3,5
Porsche,Macan S,6,AM7,Z,12.9,10.2,11.7,272,4,5
Porsche,Macan Turbo,6,AM7,Z,13.5,10.7,12.3,288,3,5
Porsche,Panamera,6,AM8,Z,12.4,8.7,10.7,250,4,5
Porsche,Panamera 4,6,AM8,Z,12.4,9,10.9,253,4,5
Porsche,Panamera 4 Executive,6,AM8,Z,12.4,9,10.9,253,4,5
Porsche,Panamera 4 ST,6,AM8,Z,12.2,8.9,10.7,250,4,5
Porsche,Panamera 4S,6,AM8,Z,13.1,8.9,11.2,260,4,5
Porsche,Panamera 4S Executive,6,AM8,Z,13.1,8.9,11.2,260,4,5
Porsche,Panamera 4S ST,6,AM8,Z,13.1,9.8,11.6,273,4,5
Porsche,Panamera GTS,8,AM8,Z,14.5,10.2,12.6,295,3,3
Porsche,Panamera GTS ST,8,AM8,Z,15.7,10.5,13.4,313,3,3
Porsche,Panamera Turbo,8,AM8,Z,12.8,9.2,11.2,261,4,3
Porsche,Panamera Turbo Executive,8,AM8,Z,12.8,9.2,11.2,261,4,3
Porsche,Panamera Turbo ST,8,AM8,Z,13.4,10.1,11.9,279,4,3
Ram,1500 EcoDiesel,6,A8,D,10.5,7.3,9,243,5,1
Ram,1500 eTorque,6,A8,X,11.9,9.4,10.8,253,4,5
Ram,1500 HFE eTorque,6,A8,X,11.6,9,10.4,245,5,5
Ram,1500,8,A8,X,16.2,10.5,13.6,320,3,3
Ram,1500 eTorque,8,A8,X,14.1,10.3,12.4,290,3,3
Ram,1500 4X4 EcoDiesel,6,A8,D,11.1,8,9.7,260,4,1
Ram,1500 4X4 eTorque,6,A8,X,12.2,9.7,11.1,260,4,5
Ram,1500 4X4,8,A8,X,16.1,11,13.8,325,3,3
Ram,1500 4X4 eTorque,8,A8,X,14.2,10.9,12.8,299,3,3
Ram,1500 Classic,6,A8,X,13.9,9.6,11.9,280,4,3
Ram,1500 Classic,8,A8,X,15.7,11,13.6,319,3,3
Ram,1500 Classic 4X4,6,A8,X,14.5,10.2,12.6,294,3,3
Ram,1500 Classic 4X4,8,A8,X,16.2,11.6,14.1,330,3,3
Ram,ProMaster City,4,A9,X,11.2,8.3,9.9,232,5,6
Rolls-Royce,Cullinan,12,AS8,Z,20.1,12.1,16.5,386,1,3
Rolls-Royce,Cullinan Black Badge,12,AS8,Z,20.1,12.1,16.5,386,1,3
Rolls-Royce,Dawn,12,AS8,Z,20.4,13.1,17.1,400,1,3
Rolls-Royce,Dawn Black Badge,12,AS8,Z,20.4,13.1,17.1,400,1,3
Rolls-Royce,Ghost,12,AS8,Z,20.4,13.1,17.1,400,1,3
Rolls-Royce,Ghost EWB,12,AS8,Z,20.4,13.1,17.1,400,1,3
Rolls-Royce,Phantom,12,AS8,Z,20,11.8,16.3,382,1,3
Rolls-Royce,Phantom EWB,12,AS8,Z,20,11.8,16.3,382,1,3
Rolls-Royce,Wraith,12,AS8,Z,19.6,12.8,16.5,387,1,3
Rolls-Royce,Wraith Black Badge,12,AS8,Z,19.6,12.8,16.5,387,1,3
Subaru,Ascent AWD,4,AV8,X,11.6,9,10.4,244,5,3
Subaru,BRZ,4,AS6,Z,9.7,7.2,8.6,200,6,1
Subaru,BRZ,4,M6,Z,11.2,8.2,9.9,231,5,1
Subaru,BRZ tS,4,M6,Z,11.6,8.6,10.2,239,5,1
Subaru,Crosstrek AWD,4,AV8,X,8.5,7,7.9,185,7,6
Subaru,Crosstrek AWD,4,M6,X,10.5,8.1,9.4,220,5,6
Subaru,Forester AWD,4,AV7,X,9,7.2,8.2,192,6,6
Subaru,Impreza 4-Door AWD,4,AV7,X,8.3,6.4,7.5,174,7,6
Subaru,Impreza 4-Door AWD,4,M5,X,10.1,7.6,9,210,5,6
Subaru,Impreza 5-Door AWD,4,AV7,X,8.4,6.6,7.6,178,7,6
Subaru,Impreza 5-Door AWD,4,M5,X,10.1,7.7,9,211,5,6
Subaru,Legacy AWD,4,AV8,X,9.9,7.3,8.7,205,6,3
Subaru,Legacy AWD,4,AV8,X,8.8,6.7,7.9,185,7,6
Subaru,Outback AWD,4,AV8,X,10.1,7.9,9.1,213,5,3
Subaru,Outback AWD,4,AV8,X,9,7.1,8.2,192,6,6
Subaru,WRX AWD,4,AV8,Z,12.9,9.7,11.5,263,4,1
Subaru,WRX AWD,4,M6,Z,11.3,8.5,10.1,236,5,1
Subaru,WRX STI AWD,4,M6,Z,14.3,10.8,12.7,297,3,1
Toyota,4Runner 4WD,6,AS5,X,14.8,12.5,13.8,321,3,5
Toyota,4Runner 4WD (Part-Time 4WD),6,AS5,X,14.8,12.5,13.8,321,3,5
Toyota,86,4,AS6,Z,9.9,7.3,8.7,204,6,1
Toyota,86,4,M6,Z,11.2,8.3,9.9,232,5,1
Toyota,Avalon,6,AS8,X,10.9,7.6,9.4,220,5,5
Toyota,C-HR,4,AS7,X,8.7,7.5,8.2,189,6,3
Toyota,Camry,4,AS8,X,8.1,5.7,6.9,164,8,7
Toyota,Camry LE/SE,4,AS8,X,8.5,6.1,7.4,173,7,7
Toyota,Camry XLE/XSE,4,AS8,X,8.6,6.3,7.6,177,7,7
Toyota,Camry,6,AS8,X,10.5,7.1,9,210,5,5
Toyota,Camry XSE,6,AS8,X,10.7,7.4,9.2,215,5,5
Toyota,Camry TRD,6,AS8,X,10.8,7.6,9.4,220,5,5
Toyota,Camry AWD LE/SE,4,AS8,X,9.3,6.8,8.2,190,6,6
Toyota,Camry AWD XLE/XSE,4,AS8,X,9.5,7,8.4,197,6,6
Toyota,Camry Hybrid LE,4,AV,X,4.9,4.8,4.9,113,10,7
Toyota,Camry Hybrid XLE/SE,4,AV,X,5.3,5,5.1,121,10,7
Toyota,Corolla,4,AV,X,7.9,6.1,7.1,165,7,5
Toyota,Corolla XLE,4,AV,X,8.1,6.3,7.3,170,7,5
Toyota,Corolla,4,M6,X,8,6,7.1,165,7,5
Toyota,Corolla,4,AV10,X,7.6,5.8,6.7,158,8,6
Toyota,Corolla XSE,4,AV10,X,7.7,6.1,7,164,8,6
Toyota,Corolla,4,M6,X,8.2,6.5,7.4,173,7,6
Toyota,Corolla Hatchback,4,AV10,X,7.5,5.8,6.7,158,8,6
Toyota,Corolla Hatchback,4,M6,X,8.4,6.3,7.5,174,7,6
Toyota,Corolla Hybrid,4,AV,X,4.4,4.5,4.5,106,10,7
Toyota,GR Supra,6,AS8,Z,9.9,7.7,8.9,208,6,3
Toyota,Highlander,6,AS8,X,11.9,8.3,10.3,240,5,5
Toyota,Highlander AWD,6,AS8,X,11.7,8.6,10.3,240,5,5
Toyota,Highlander Hybrid AWD,4,AV,X,6.7,6.8,6.7,158,8,7
Toyota,Highlander Hybrid AWD Limited/Platinum,4,AV,X,6.6,6.8,6.7,156,8,7
Toyota,Prius,4,AV,X,4.4,4.7,4.5,106,10,7
Toyota,Prius AWD,4,AV,X,4.5,4.9,4.7,109,10,7
Toyota,Prius c,4,AV,X,4.9,5.5,5.1,120,10,7
Toyota,RAV4,4,AS8,X,8.8,6.8,7.9,184,7,6
Toyota,RAV4 AWD,4,AS8,X,9.2,7.1,8.2,194,6,6
Toyota,RAV4 AWD TRD Off-Road,4,AS8,X,9.5,7.5,8.6,200,6,6
Toyota,RAV4 Hybrid AWD,4,AV,X,5.7,6.3,6,139,9,7
Toyota,Sequoia 4WD,8,AS6,X,18.5,13.9,16.4,385,1,5
Toyota,Sienna,6,AS8,X,12.6,9.1,11,259,4,5
Toyota,Sienna AWD,6,AS8,X,13.4,9.6,11.7,274,4,5
Toyota,Tacoma,4,AS6,X,12.1,10.1,11.2,263,4,5
Toyota,Tacoma 4WD,4,AS6,X,12.7,10.6,11.7,274,4,5
Toyota,Tacoma 4WD,6,AS6,X,13,10.5,11.9,278,4,5
Toyota,Tacoma 4WD,6,M6,X,13.8,11.4,12.7,299,3,5
Toyota,Tacoma 4WD D-Cab TRD Off-Road/Pro,6,M6,X,13.8,11.7,12.9,300,3,5
Toyota,Tundra,8,AS6,X,17.7,13.6,15.9,371,2,5
Toyota,Tundra 4WD,8,AS6,X,18,14.2,16.3,381,1,5
Toyota,Yaris,4,AS6,X,7.3,5.9,6.6,155,8,3
Toyota,Yaris (SIL),4,M6,X,7.8,6.1,6.9,165,8,3
Volkswagen,Arteon 4MOTION,4,AS8,Z,11.5,8.2,10,234,5,3
Volkswagen,Atlas Cross Sport 4MOTION,4,AS8,X,12.8,10.4,11.7,273,4,3
Volkswagen,Atlas Cross Sport 4MOTION,6,AS8,X,14.3,10.7,12.7,297,3,5
Volkswagen,Golf,4,AS8,X,8.1,6.6,7.4,174,7,7
Volkswagen,Golf,4,M6,X,8.4,6.6,7.6,177,7,7
Volkswagen,Golf GTI,4,AM7,X,9.7,7.5,8.7,203,6,7
Volkswagen,Golf GTI,4,M6,X,9.8,7.3,8.7,203,6,7
Volkswagen,Jetta,4,AS8,X,7.8,5.9,7,162,8,5
Volkswagen,Jetta,4,M6,X,7.9,5.9,7,163,8,7
Volkswagen,Jetta GLI,4,AM7,X,9.3,7.2,8.4,196,6,7
Volkswagen,Jetta GLI,4,M6,X,9.6,7.1,8.5,198,6,7
Volkswagen,Passat,4,AS6,X,10.2,6.9,8.7,205,6,7
Volkswagen,Tiguan,4,AS8,X,10.5,8.1,9.4,221,5,7
Volkswagen,Tiguan 4MOTION,4,AS8,X,11.5,8.7,10.2,241,5,7
Volvo,S60 T5,4,AS8,Z,10.5,7.1,8.9,208,6,5
Volvo,S60 T6 AWD,4,AS8,Z,11,7.4,9.4,219,5,7
Volvo,S90 T6 AWD,4,AS8,Z,11.3,7.5,9.6,223,5,7
Volvo,V60 T5,4,AS8,Z,10.5,7.1,8.9,208,6,5
Volvo,V60 T6 AWD,4,AS8,Z,11,7.4,9.4,219,5,7
Volvo,V60 CC T5 AWD,4,AS8,Z,10.8,7.7,9.4,220,5,5
Volvo,XC40 T4,4,AS8,X,10.1,7.2,8.8,205,6,5
Volvo,XC40 T4 AWD,4,AS8,X,10.2,7.5,9,210,5,5
Volvo,XC40 T5 AWD,4,AS8,Z,10.7,7.7,9.4,219,5,5
Volvo,XC60 T5 AWD,4,AS8,Z,11.2,8.3,9.9,232,5,5
Volvo,XC60 T6 AWD,4,AS8,Z,11.7,8.6,10.3,240,5,7
Volvo,XC90 T5 AWD,4,AS8,Z,11.2,8.3,9.9,232,5,5
Volvo,XC90 T6 AWD,4,AS8,Z,12.2,8.7,10.7,248,4,7
